league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Premier League,2026,2026-08-21,Arsenal,Coventry,3,0,2,0,H
Premier League,2026,2026-08-22,Hull City,Manchester United,2,0,2,0,H
Premier League,2026,2026-08-22,Everton,Crystal Palace,2,0,1,0,H
Premier League,2026,2026-08-22,Ipswich,Sunderland,2,1,1,1,H
Premier League,2026,2026-08-22,Nottingham Forest,Leeds,0,1,0,0,A
Premier League,2026,2026-08-22,Brentford,Tottenham,3,0,2,0,H
Premier League,2026,2026-08-23,Manchester City,Bournemouth,2,1,0,1,H
Premier League,2026,2026-08-23,Brighton,Aston Villa,4,0,4,0,H
Premier League,2026,2026-08-23,Newcastle,Liverpool,2,2,1,0,D
Premier League,2026,2026-08-24,Fulham,Chelsea,2,3,1,2,A
Premier League,2026,2026-08-28,Crystal Palace,Manchester City,1,4,0,1,A
Premier League,2026,2026-08-29,Liverpool,Nottingham Forest,2,2,0,1,D
Premier League,2026,2026-08-29,Bournemouth,Everton,1,1,1,0,D
Premier League,2026,2026-08-29,Coventry,Hull City,0,1,0,0,A
Premier League,2026,2026-08-29,Tottenham,Newcastle,0,2,0,0,A
Premier League,2026,2026-08-30,Chelsea,Brighton,4,3,3,1,H
Premier League,2026,2026-08-30,Leeds,Brentford,1,1,0,1,D
Premier League,2026,2026-08-30,Sunderland,Fulham,1,0,0,0,H
Premier League,2026,2026-08-30,Manchester United,Ipswich,5,2,1,1,H
Premier League,2026,2026-08-31,Aston Villa,Arsenal,0,1,0,0,A
